Section Name,Section Number,Longitude,Latitude,GRCode,,,
Aba3-98 &AB1-106,204,-95.725,75.2267,GR1593,,,
Aba3-98 &AB1-107,204,-95.725,75.2267,GR3080,,,
Aba3-98 &AB1-108,204,-95.725,75.2267,GR3079,,,
Aba3-98 &AB1-109,204,-95.725,75.2267,GR1970,,,
Aba3-98 &AB1-110,204,-95.725,75.2267,GR3083,,,
Aba3-98 &AB1-99,204,-95.725,75.2267,GR3078,,,
"Abingdon, Virginia",63,-82,36.7,GR1033,,,
"Abingdon, Virginia",63,-82,36.7,GR1035,,,
"Abingdon, Virginia",63,-82,36.7,GR1036,,,
"Abingdon, Virginia",63,-82,36.7,GR1179,,,
"Abingdon, Virginia",63,-82,36.7,GR1180,,,
"Abingdon, Virginia",63,-82,36.7,GR1181,,,
"Abingdon, Virginia",63,-82,36.7,GR1182,,,
"Abingdon, Virginia",63,-82,36.7,GR1184,,,
"Abingdon, Virginia",63,-82,36.7,GR1188,,,
"Abingdon, Virginia",63,-82,36.7,GR1195,,,
"Abingdon, Virginia",63,-82,36.7,GR1229,,,
"Abingdon, Virginia",63,-82,36.7,GR1232,,,
"Abingdon, Virginia",63,-82,36.7,GR2118,,,
"Abingdon, Virginia",63,-82,36.7,GR2737,,,
"Abingdon, Virginia",63,-82,36.7,GR2806,,,
"Abingdon, Virginia",63,-82,36.7,GR3086,,,
"Abingdon, Virginia",63,-82,36.7,GR3204,,,
"Abingdon, Virginia",63,-82,36.7,GR4831,,,
"Abingdon, Virginia",63,-82,36.7,GR4858,,,
Akutlak Composite,139,-115.31,50.18,GR1015,,,
Akutlak Composite,139,-115.31,50.18,GR1025,,,
Akutlak Composite,139,-115.31,50.18,GR1078,,,
Akutlak Composite,139,-115.31,50.18,GR1081,,,
Akutlak Composite,139,-115.31,50.18,GR1086,,,
Akutlak Composite,139,-115.31,50.18,GR1091,,,
Akutlak Composite,139,-115.31,50.18,GR1098,,,
Akutlak Composite,139,-115.31,50.18,GR1111,,,
Akutlak Composite,139,-115.31,50.18,GR1161,,,
Akutlak Composite,139,-115.31,50.18,GR1174,,,
Akutlak Composite,139,-115.31,50.18,GR1176,,,
Akutlak Composite,139,-115.31,50.18,GR1187,,,
Akutlak Composite,139,-115.31,50.18,GR1216,,,
Akutlak Composite,139,-115.31,50.18,GR1226,,,
Akutlak Composite,139,-115.31,50.18,GR1236,,,
Akutlak Composite,139,-115.31,50.18,GR1337,,,
Akutlak Composite,139,-115.31,50.18,GR1343,,,
Akutlak Composite,139,-115.31,50.18,GR2101,,,
Akutlak Composite,139,-115.31,50.18,GR2103,,,
Akutlak Composite,139,-115.31,50.18,GR2129,,,
Akutlak Composite,139,-115.31,50.18,GR2346,,,
Akutlak Composite,139,-115.31,50.18,GR2408,,,
Akutlak Composite,139,-115.31,50.18,GR2610,,,
Akutlak Composite,139,-115.31,50.18,GR2724,,,
Akutlak Composite,139,-115.31,50.18,GR3400,,,
Akutlak Composite,139,-115.31,50.18,GR3401,,,
Akutlak Composite,139,-115.31,50.18,GR3402,,,
Akutlak Composite,139,-115.31,50.18,GR3403,,,
Akutlak Composite,139,-115.31,50.18,GR3404,,,
Akutlak Composite,139,-115.31,50.18,GR3405,,,
Akutlak Composite,139,-115.31,50.18,GR3406,,,
Akutlak Composite,139,-115.31,50.18,GR3407,,,
Akutlak Composite,139,-115.31,50.18,GR3409,,,
Akutlak Composite,139,-115.31,50.18,GR3410,,,
Akutlak Composite,139,-115.31,50.18,GR3411,,,
Akutlak Composite,139,-115.31,50.18,GR3412,,,
Akutlak Composite,139,-115.31,50.18,GR3414,,,
Akutlak Composite,139,-115.31,50.18,GR3415,,,
Akutlak Composite,139,-115.31,50.18,GR3418,,,
Akutlak Composite,139,-115.31,50.18,GR3419,,,
Akutlak Composite,139,-115.31,50.18,GR3419,,,
Akutlak Composite,139,-115.31,50.18,GR3421,,,
Akutlak Composite,139,-115.31,50.18,GR3431,,,
Akutlak Composite,139,-115.31,50.18,GR3451,,,
Akutlak Composite,139,-115.31,50.18,GR4767,,,
Akutlak Composite,139,-115.31,50.18,GR4791,,,
Akutlak Composite,139,-115.31,50.18,GR4813,,,
Akutlak Composite,139,-115.31,50.18,GR4838,,,
Akutlak Composite,139,-115.31,50.18,GR4844,,,
Akutlak Composite,139,-115.31,50.18,GR4852,,,
Akutlak Composite,139,-115.31,50.18,GR4879,,,
Akutlak Composite,139,-115.31,50.18,GR4889,,,
